,words,counts
0,get,15906
1,yes,11024
2,like,9719
3,know,7348
4,go,6498
5,fuck,4516
6,oh,4507
7,nigra,4356
8,say,4346
9,love,4243
10,chorus,4162
11,make,4160
12,verse,4133
13,bitch,3965
14,na,3951
15,baby,3677
16,let,3634
17,shit,3348
18,come,3237
19,see,3195
20,take,3184
21,back,3154
22,girl,3138
23,want,3027
24,tell,2963
25,gon,2894
26,niggas,2845
27,one,2769
28,feel,2651
29,wan,2573
30,time,2563
31,look,2377
32,never,2363
33,money,2243
34,-PRON-,2201
35,much,2172
36,right,2170
37,need,2065
38,us,2059
39,think,2044
40,give,1996
41,put,1948
42,keep,1943
43,way,1929
44,ooh,1877
45,man,1820
46,good,1770
47,uh,1638
48,lil,1557
49,life,1551
50,hey,1532
51,ama,1492
52,call,1476
53,ta,1469
54,big,1425
55,bad,1424
56,run,1401
57,well,1394
58,real,1368
59,still,1353
60,hit,1352
61,pitch,1348
62,night,1324
63,day,1308
64,boy,1308
65,la,1288
66,ass,1283
67,leave,1259
68,thing,1255
69,play,1240
70,light,1218
71,intro,1209
72,woo,1189
73,new,1183
74,bout,1174
75,turn,1170
76,live,1159
77,even,1147
78,de,1139
79,break,1114
80,nothing,1102
81,talk,1099
82,really,1095
83,try,1055
84,pop,1049
85,show,1031
86,god,1015
87,ride,1004
88,young,1001
89,every,998
90,high,994
91,home,977
92,hold,971
93,work,968
94,would,943
95,hear,936
96,around,928
97,stop,921
98,lie,920
99,pull,900
100,tryna,898
101,mind,898
102,little,893
103,watch,891
104,body,877
105,hand,859
106,doe,857
107,top,838
108,walk,837
109,cause,837
110,yo,835
111,ever,835
112,outro,829
113,may,821
114,gang,819
115,fall,815
116,die,805
117,—,803
118,drop,799
119,smoke,797
120,drink,795
121,head,792
122,something,787
123,hard,783
124,world,775
125,damn,774
126,two,763
127,low,760
128,everything,759
129,long,757
130,start,749
131,roll,747
132,kill,730
133,hook,730
134,bag,728
135,prechorus,725
136,use,721
137,wait,721
138,wah,715
139,pussy,713
140,throw,710
141,face,704
142,huh,700
143,friend,697
144,stay,695
145,beat,693
146,eye,691
147,check,690
148,always,680
149,bridge,675
150,til,674
151,rich,667
152,ah,663
153,shoot,663
154,party,662
155,change,660
156,buy,659
157,que,656
158,rock,654
159,heart,652
160,mean,644
161,name,640
162,ho,636
163,everybody,636
164,lose,630
165,drake,627
166,find,623
167,bring,619
168,catch,617
169,black,612
170,blow,608
171,dance,602
172,hot,601
173,chain,600
174,lot,599
175,diamond,597
176,game,596
177,side,591
178,away,588
179,round,584
180,ice,582
181,whole,581
182,move,577
183,last,561
184,talkin,554
185,another,553
186,straight,551
187,okay,545
188,crazy,543
189,nobody,540
190,fly,539
191,suck,536
192,hundred,528
193,pay,520
194,tonight,518
195,skirt,517
196,kid,514
197,mama,512
198,club,510
199,please,510
200,car,509
201,though,509
202,hate,509
203,city,507
204,ready,504
205,street,503
206,whip,499
207,line,497
208,nah,495
209,ask,490
210,brown,487
211,old,486
212,﻿1,482
213,band,480
214,song,480
215,da,479
216,trap,476
217,dick,470
218,cash,469
219,white,453
220,chris,451
221,wrong,450
222,word,449
223,close,448
224,future,448
225,sleep,446
226,enough,443
227,j,438
228,mine,436
229,rap,433
230,people,433
231,hope,431
232,many,428
233,count,425
234,miss,425
235,wake,424
236,stick,421
237,bust,417
238,hell,417
239,trip,416
240,wish,415
241,mad,410
242,end,408
243,eat,406
244,spend,404
245,block,403
246,late,403
247,three,401
248,four,401
249,dream,400
250,stand,399
251,shawty,399
252,house,396
253,cut,396
254,alright,395
255,shake,393
256,ring,390
257,sit,387
258,rack,386
259,‘,386
260,door,384
261,floor,384
262,million,382
263,red,375
264,believe,373
265,slow,373
266,nicki,373
267,win,373
268,wayne,373
269,wrist,372
270,boom,370
271,place,369
272,care,368
273,meet,365
274,gucci,363
275,act,363
276,jump,362
277,somebody,361
278,ball,361
279,switch,360
280,save,357
281,west,357
282,woman,357
283,hol,357
284,guess,356
285,couple,354
286,dope,350
287,wit,349
288,en,348
289,shot,347
290,maybe,344
291,fast,343
292,gun,343
293,drive,340
294,alone,339
295,touch,339
296,swear,338
297,kiss,338
298,pick,336
299,year,336
300,different,335
301,inside,334
302,room,332
303,morning,331
304,cold,328
305,slide,327
306,music,324
307,sell,323
308,fight,322
309,bet,322
310,next,322
311,dollar,321
312,kanye,321
313,phone,318
314,star,317
315,pass,315
316,travis,315
317,bang,314
318,free,313
319,fire,312
320,push,312
321,movie,311
322,send,310
323,remember,310
324,freak,307
325,cup,307
326,sound,305
327,shine,305
328,air,304
329,boss,303
330,anything,302
331,pour,301
332,bottle,301
333,lord,300
334,open,300
335,key,300
336,rain,299
337,sky,298
338,un,297
339,full,297
340,sean,297
341,burn,296
342,dog,295
343,problem,295
344,pray,294
345,minaj,294
346,else,293
347,card,293
348,minute,292
349,ten,292
350,water,291
351,refrain,290
352,king,289
353,cool,287
354,worry,287
355,without,286
356,type,286
357,hood,285
358,wet,285
359,listen,285
360,booty,285
361,post,284
362,knock,284
363,true,284
364,scott,283
365,daddy,282
366,ohoh,282
367,pretty,280
368,bank,279
369,set,279
370,postchorus,277
371,mm,276
372,picture,275
373,kick,274
374,front,274
375,c,273
376,hop,272
377,g,271
378,cry,271
379,pain,268
380,since,266
381,today,265
382,main,265
383,already,264
384,hurt,264
385,road,264
386,b,262
387,je,262
388,le,260
389,bed,260
390,bottom,259
391,sex,259
392,comma,258
393,understand,257
394,forget,257
395,soul,257
396,et,257
397,foot,256
398,drug,256
399,deep,256
400,bite,256
401,doi,252
402,grind,251
403,bounce,251
404,help,250
405,write,248
406,trust,248
407,level,245
408,dawn,244
409,deal,244
410,loud,244
411,fade,243
412,pocket,243
413,drip,242
414,ich,242
415,bar,240
416,short,240
417,quavo,239
418,wear,239
419,sorry,238
420,ha,238
421,neck,238
422,probably,238
