,words,counts
0,get,5476
1,like,2887
2,know,2242
3,go,1906
4,yes,1647
5,make,1532
6,na,1521
7,love,1520
8,come,1425
9,say,1402
10,one,1337
11,see,1288
12,baby,1259
13,let,1257
14,verse,1252
15,man,1098
16,back,1072
17,want,968
18,time,940
19,wan,922
20,much,898
21,chorus,892
22,take,889
23,good,830
24,think,823
25,give,823
26,shit,803
27,nigra,795
28,never,789
29,feel,786
30,tell,778
31,niggas,766
32,way,750
33,gon,749
34,yo,747
35,cause,727
36,right,722
37,live,705
38,boy,702
39,girl,697
40,oh,689
41,keep,688
42,us,675
43,big,657
44,ta,654
45,try,654
46,fuck,650
47,call,633
48,look,616
49,rock,608
50,need,589
51,day,568
52,feature,559
53,thing,557
54,rap,554
55,money,553
56,-PRON-,543
57,leave,537
58,stop,508
59,play,502
60,well,497
61,hit,490
62,life,479
63,real,474
64,hook,473
65,check,463
66,around,453
67,run,450
68,hear,425
69,still,425
70,jam,418
71,put,416
72,beat,409
73,night,408
74,hey,407
75,name,402
76,new,398
77,black,394
78,world,391
79,nothing,391
80,bitch,387
81,home,380
82,little,375
83,something,367
84,g,365
85,two,362
86,def,360
87,head,359
88,would,357
89,break,354
90,even,345
91,shoot,341
92,chill,339
93,game,337
94,da,332
95,rhyme,329
96,every,324
97,talk,321
98,show,318
99,jump,318
100,move,313
101,doe,312
102,hard,310
103,mind,308
104,ass,308
105,really,305
106,smoke,301
107,find,300
108,sound,297
109,de,294
110,word,293
111,ever,283
112,roll,283
113,stay,282
114,bad,282
115,kid,280
116,hand,278
117,friend,275
118,wit,275
119,crow,274
120,ride,273
121,uh,273
122,start,272
123,watch,270
124,away,268
125,people,268
126,pop,266
127,ice,259
128,kick,257
129,hot,257
130,long,254
131,x,254
132,brother,253
133,die,249
134,high,249
135,mean,246
136,ha,246
137,another,245
138,tonight,245
139,﻿1,244
140,hold,244
141,party,242
142,street,241
143,dogg,240
144,work,240
145,turn,238
146,intro,237
147,flow,237
148,drop,237
149,bring,236
150,lose,235
151,year,235
152,cool,232
153,heart,230
154,dr,225
155,may,225
156,funky,224
157,ghetto,224
158,ah,224
159,throw,223
160,eye,222
161,bout,221
162,style,221
163,house,220
164,mine,220
165,ooh,219
166,use,219
167,soul,219
168,body,218
169,top,217
170,king,217
171,b,216
172,catch,214
173,mr,214
174,fresh,213
175,old,212
176,face,211
177,funk,211
178,pitch,210
179,walk,210
180,lady,209
181,blow,208
182,dat,206
183,alone,206
184,step,203
185,everything,203
186,lie,202
187,til,201
188,clear,201
189,kiss,200
190,god,200
191,kill,199
192,la,198
193,pass,198
194,always,197
195,wait,196
196,j,196
197,change,194
198,many,194
199,block,194
200,front,193
201,three,193
202,main,193
203,c,192
204,bust,189
205,fly,188
206,next,188
207,everybody,186
208,wake,186
209,late,185
210,lil,185
211,ask,185
212,short,184
213,joe,181
214,believe,181
215,tommy,181
216,stand,180
217,shake,180
218,crazy,179
219,miss,178
220,side,177
221,true,177
222,album,177
223,ho,177
224,wrong,176
225,last,176
226,dream,176
227,deep,175
228,remix,175
229,sugarhill,174
230,track,173
231,pay,173
232,end,172
233,city,171
234,light,170
235,profile,170
236,close,169
237,outro,169
238,young,169
239,fall,168
240,knock,168
241,touch,166
242,ready,165
243,gun,165
244,enough,165
245,whole,165
246,lot,165
247,ms,165
248,nobody,164
249,place,164
250,stick,164
251,cold,163
252,mad,162
253,fat,161
254,bone,160
255,‘,158
256,sit,158
257,round,158
258,original,157
259,dance,155
260,cut,155
261,wonder,154
262,player,153
263,open,151
264,hell,151
265,death,151
266,freak,151
267,pull,151
268,daddy,151
269,huh,150
270,west,150
271,hood,150
272,please,150
273,bridge,149
274,straight,149
275,nice,149
276,lord,148
277,dog,148
278,care,147
279,listen,147
280,song,147
281,fool,146
282,without,146
283,set,145
284,cry,144
285,loud,144
286,damn,144
287,meredith,144
288,thug,143
289,four,142
290,hop,142
291,elektra,142
292,wild,141
293,mic,139
294,hope,139
295,hh,139
296,cup,139
297,boogie,138
298,dirty,138
299,guy,138
300,understand,137
301,ft,137
302,sleep,136
303,though,136
304,bang,136
305,master,136
306,sweet,135
307,white,135
308,wish,135
309,brown,134
310,slow,133
311,easy,133
312,woman,132
313,cube,132
314,follow,131
315,low,130
316,p,130
317,e,129
318,ring,129
319,quick,129
320,car,128
321,hip,128
322,respect,127
323,snoop,127
324,meet,127
325,george,126
326,boom,124
327,help,124
328,nas,124
329,somebody,123
330,inside,123
331,pick,122
332,door,122
333,remember,122
334,phone,122
335,con,121
336,trip,121
337,dre,121
338,rachel,121
339,groove,120
340,buck,120
341,type,119
342,seem,119
343,smooth,119
344,grow,119
345,uhhuh,118
346,hang,118
347,version,117
348,eat,117
349,whatcha,117
350,room,117
351,son,117
352,notorious,117
353,full,117
354,power,117
355,business,117
356,bar,117
357,pump,117
358,act,116
359,enjoy,116
360,okay,116
361,since,116
362,club,116
363,line,115
364,music,115
365,jazz,115
366,tha,115
367,forget,115
368,stuff,114
369,mack,114
370,puff,113
371,alright,113
372,must,112
373,together,112
374,dope,111
375,smile,110
376,dick,110
377,fire,110
378,dead,109
379,hiphop,109
380,buy,109
381,tool,109
382,deal,107
383,dollar,107
384,bite,107
385,five,107
386,monica,106
387,suck,106
388,flash,106
389,behind,106
390,method,106
391,bye,106
392,grandmaster,105
393,forever,104
394,speak,104
395,cream,104
396,heaven,103
397,talkin,103
398,push,103
399,happen,103
400,guess,102
401,tight,102
402,strong,102
403,hate,102
404,york,102
405,drink,101
406,write,101
407,free,101
408,matt,101
409,great,101
410,school,100
411,mouth,100
412,ill,100
413,movie,100
414,u,99
415,trick,99
416,sure,99
417,jay,99
418,holly,98
419,east,98
420,pac,97
421,sometimes,97
422,air,97
423,feat,97
424,none,97
425,jayz,97
426,pain,96
427,mob,96
428,lt,96
429,floor,96
430,chandler,96
431,gold,95
432,flip,95
433,ama,95
434,fine,94
435,gang,94
436,bounce,94
437,brand,94
438,dig,93
439,fight,93
440,tear,93
441,coast,93
442,numb,92
443,rich,92
444,queen,92
445,grind,92
446,sell,92
447,gangsta,92
448,lover,91
449,bag,91
450,star,91
451,hurt,90
452,whatever,90
453,reach,90
454,pack,90
455,th,89
456,mama,89
457,raw,89
458,wear,89
459,—,89
460,crack,88
461,hill,88
462,brooklyn,88
463,blue,88
464,book,88
465,derek,88
466,peace,87
467,grab,87
468,fast,87
469,plus,86
470,wee,86
471,rip,86
472,drive,86
473,mo,86
474,sex,86
475,win,85
476,war,85
477,kinda,85
478,red,85
479,ef,85
480,else,85
481,priority,85
482,maybe,84
483,plan,84
484,spot,84
485,izzie,84
486,bear,83
487,record,83
488,rapper,83
489,town,83
490,swing,83
491,cash,83
492,chance,83
493,cristina,83
494,babe,82
495,scream,82
496,trust,82
497,begin,82
498,grand,82
499,mike,82
500,wood,82
501,dem,82
502,super,82
503,lock,82
504,hello,82
505,tribe,82
506,bomb,81
507,sugar,81
508,learn,81
509,brain,81
510,far,81
511,part,80
512,battle,80
513,rest,80
514,biz,80
515,force,80
516,wicked,80
517,redman,80
518,sing,79
519,today,79
520,story,79
521,child,79
522,sorry,79
523,past,79
524,wow,79
525,production,79
526,favorite,78
527,nine,78
528,blunt,78
529,fact,78
530,bow,78
531,prechorus,77
532,case,77
533,burn,77
534,wet,77
535,box,77
536,outta,77
537,state,77
538,row,76
539,doi,76
540,switch,76
541,paper,76
542,team,76
543,kind,76
544,ball,76
545,reason,75
546,south,75
547,spend,75
548,self,75
549,weasel,75
550,alex,75
551,n,74
552,worry,74
553,login,74
554,morning,74
555,treat,74
556,butt,74
557,anything,74
558,double,74
559,playa,74
560,art,74
561,park,73
562,scene,73
563,st,73
564,rise,73
565,till,73
566,family,73
567,sky,73
568,slide,73
569,shop,73
570,cha,73
571,tee,73
572,ear,72
573,doctor,72
574,bill,72
575,cat,72
576,project,72
577,punk,72
578,sign,72
579,murder,72
580,bump,71
581,send,71
582,hair,71
