,words,counts
0,get,206
1,ft,178
2,kir,105
3,kan,74
4,much,65
5,love,60
6,go,59
7,want,57
8,man,57
9,like,57
10,black,53
11,lil,53
12,one,49
13,rock,49
14,good,48
15,khan,48
16,sock,47
17,captain,46
18,mccoy,46
19,marla,45
20,break,44
21,day,44
22,time,42
23,hot,42
24,make,41
25,de,39
26,would,35
27,remix,35
28,big,34
29,let,34
30,come,33
31,boy,33
32,take,32
33,feel,32
34,van,31
35,metallica,31
36,leave,31
37,yes,30
38,five,30
39,ta,30
40,long,29
41,live,29
42,know,29
43,away,29
44,scott,29
45,back,28
46,ade,28
47,death,28
48,night,28
49,way,27
50,heart,27
51,right,27
52,young,27
53,bear,26
54,finger,26
55,bridge,26
56,king,26
57,find,25
58,baby,25
59,sabbath,25
60,life,25
61,punch,24
62,ozzy,24
63,osbourne,24
64,kid,24
65,roll,23
66,bring,23
67,little,23
68,disturb,22
69,name,22
70,park,22
71,grace,22
72,work,21
73,fall,21
74,link,21
75,never,21
76,mister,21
77,please,21
78,girl,20
79,bad,20
80,n,20
81,world,20
82,shinedown,20
83,vessel,20
84,two,19
85,godsmack,19
86,home,19
87,kiss,19
88,gun,19
89,nothing,19
90,give,19
91,summer,19
92,three,19
93,head,19
94,numb,19
95,say,19
96,see,19
97,sir,19
98,kirk,19
99,def,18
100,old,18
101,hear,18
102,benjamin,18
103,la,18
104,na,17
105,dream,17
106,eye,17
107,system,17
108,year,17
109,star,17
110,question,17
111,keep,16
112,leopard,16
113,seether,16
114,last,16
115,stone,16
116,papa,16
117,roach,16
118,song,16
119,may,16
120,ship,16
121,oc,16
122,stock,16
123,da,16
124,soul,15
125,machine,15
126,iron,15
127,maiden,15
128,die,15
129,stay,15
130,new,15
131,fade,15
132,dance,15
133,oh,15
134,c,15
135,engineer,15
136,mcgivers,15
137,look,14
138,still,14
139,rage,14
140,aerosmith,14
141,fire,14
142,white,14
143,tool,14
144,judas,14
145,priest,14
146,evil,14
147,try,14
148,well,14
149,us,14
150,jay,14
151,crazy,13
152,mind,13
153,blue,13
154,rich,13
155,war,13
156,dark,13
157,high,13
158,pop,13
159,rose,13
160,something,13
161,zombie,13
162,alone,13
163,woman,13
164,avenger,13
165,sevenfold,13
166,change,13
167,g,13
168,u,12
169,alice,12
170,alive,12
171,horizon,12
172,stand,12
173,slipknot,12
174,angel,12
175,wait,12
176,dead,12
177,true,12
178,lieutenant,12
179,lady,11
180,cold,11
181,bullet,11
182,hell,11
183,burn,11
184,light,11
185,volbeat,11
186,devil,11
187,heaven,11
188,read,11
189,save,11
190,thing,11
191,bone,11
192,ooh,11
193,beat,11
194,need,11
195,doe,11
196,wonder,11
197,lose,11
198,glide,11
199,della,11
200,call,10
201,remember,10
202,poison,10
203,moment,10
204,show,10
205,hold,10
206,scorpion,10
207,lead,10
208,doctor,10
209,always,10
210,floor,10
211,close,10
212,shoot,10
213,room,10
214,run,10
215,earth,10
216,think,10
217,century,10
218,botany,10
219,bay,10
220,fact,10
221,chorus,10
222,j,10
223,b,10
224,understand,9
225,turn,9
226,god,9
227,party,9
228,wan,9
229,walk,9
230,deep,9
231,thousand,9
232,engage,9
233,dio,9
234,sour,9
235,human,9
236,queen,9
237,red,9
238,nine,9
239,inch,9
240,nail,9
241,rise,9
242,talk,9
243,mean,9
244,rob,9
245,control,9
246,chevelle,9
247,cry,9
248,city,9
249,rule,9
250,motley,9
251,bull,9
252,around,9
253,honey,9
254,﻿1,9
255,open,9
256,put,9
257,verse,9
258,layla,9
259,mike,9
260,tha,9
261,place,8
262,megadeth,8
263,halestorm,8
264,pantera,8
265,cooper,8
266,hand,8
267,foot,8
268,-PRON-,8
269,limp,8
270,bizkit,8
271,another,8
272,stop,8
273,child,8
274,ride,8
275,minute,8
276,hate,8
277,easy,8
278,sevendust,8
279,chain,8
280,kill,8
281,wrong,8
282,sleep,8
283,space,8
284,ask,8
285,train,8
286,fly,8
287,lie,8
288,late,8
289,far,8
290,hill,8
291,people,8
292,use,8
293,else,8
294,blow,8
295,past,8
296,x,8
297,l,8
298,chris,8
299,david,8
300,sound,7
301,hey,7
302,fine,7
303,purple,7
304,beartooth,7
305,welcome,7
306,nonpoint,7
307,valentine,7
308,soundgarden,7
309,moorhead,7
310,tell,7
311,gon,7
312,rainbow,7
313,wall,7
314,tear,7
315,help,7
316,sky,7
317,skilled,7
318,faith,7
319,record,7
320,without,7
321,freak,7
322,runaway,7
323,sign,7
324,chip,7
325,prevail,7
326,great,7
327,sweet,7
328,drop,7
329,james,7
330,air,7
331,brown,7
332,friend,7
333,mine,7
334,inside,7
335,everybody,7
336,twist,7
337,cut,7
338,smoke,7
339,type,7
340,uhura,7
341,group,7
342,quarter,7
343,many,7
344,ever,7
345,trip,7
346,quite,7
347,channel,7
348,beg,7
349,music,7
350,fresh,7
351,money,7
352,jr,7
353,eric,7
354,future,7
355,kelly,7
356,christmas,7
357,ty,7
358,yung,7
359,pretty,6
360,heat,6
361,hit,6
362,fever,6
363,dog,6
364,mud,6
365,crawl,6
366,behind,6
367,skid,6
368,row,6
369,killswitch,6
370,motionless,6
371,tonight,6
372,door,6
373,nice,6
374,line,6
375,heavy,6
376,scream,6
377,end,6
378,dirty,6
379,scar,6
380,car,6
381,pain,6
382,gate,6
383,power,6
384,mob,6
385,mr,6
386,somebody,6
387,face,6
388,land,6
389,warrant,6
390,really,6
391,straight,6
392,school,6
393,gentleman,6
394,date,6
395,wolf,6
396,body,6
397,lt,6
398,sun,6
399,nobody,6
400,zeppelin,6
401,bite,6
402,animal,6
403,chance,6
404,step,6
405,guitar,6
406,thank,6
407,deck,6
408,enterprise,6
409,interest,6
410,jim,6
411,must,6
412,happen,6
413,kind,6
414,even,6
415,sit,6
416,mare,6
417,watch,6
418,guard,6
419,move,6
420,gas,6
421,meet,6
422,darling,6
423,groove,6
424,p,6
425,sean,6
426,prince,6
427,gang,6
428,joey,6
429,wayne,6
430,grey,6
431,thug,6
432,dan,6
433,danger,5
434,drive,5
435,storm,5
436,double,5
437,gh,5
438,smash,5
439,ghost,5
440,marilyn,5
441,manson,5
442,eat,5
443,remain,5
444,paddle,5
445,hangar,5
446,sick,5
447,theory,5
448,draw,5
449,suspect,5
450,american,5
451,age,5
452,win,5
453,ted,5
454,nugent,5
455,audioslave,5
456,lock,5
457,leader,5
458,adelitas,5
459,care,5
460,ten,5
461,rapper,5
462,dokken,5
463,case,5
464,free,5
465,atreyu,5
466,hellyeah,5
467,mudvayne,5
468,happy,5
469,eagle,5
470,today,5
471,battle,5
472,voice,5
473,street,5
474,cult,5
475,repeat,5
476,monster,5
477,green,5
478,awake,5
479,fight,5
480,weapon,5
481,capture,5
482,ace,5
483,touch,5
484,beautiful,5
485,ice,5
486,push,5
487,ball,5
488,flight,5
489,midnight,5
490,mark,5
491,lion,5
492,jam,5
493,whole,5
494,treat,5
495,cool,5
496,start,5
497,pass,5
498,hope,5
499,spinelli,5
500,log,5
501,hour,5
502,officer,5
503,across,5
504,travel,5
505,planet,5
506,guess,5
507,mix,5
508,medical,5
509,book,5
510,twelve,5
511,simple,5
512,ward,5
513,command,5
514,answer,5
515,grow,5
516,common,5
517,superman,5
518,alexander,5
519,excellent,5
520,knee,5
521,brief,5
522,security,5
523,matt,5
524,reel,5
525,cash,5
526,search,5
527,tyler,5
528,boogie,5
529,denzel,5
530,e,5
531,gucci,5
532,max,5
533,dogg,5
534,von,5
535,pt,5
536,ign,5
537,stunna,5
538,vega,5
539,dress,4
540,wild,4
541,magnificent,4
542,build,4
543,top,4
544,tom,4
545,road,4
546,foo,4
547,fighter,4
548,prime,4
549,drag,4
550,tomorrow,4
551,bottom,4
552,kutch,4
553,ufo,4
554,riot,4
555,situation,4
556,miracle,4
557,lou,4
558,loose,4
559,deadman,4
560,metal,4
561,probably,4
562,factory,4
563,px,4
564,sammy,4
565,ready,4
566,son,4
567,diamond,4
568,lord,4
569,salina,4
570,hero,4
571,shadow,4
572,bleed,4
573,bon,4
574,jovi,4
575,dare,4
576,noise,4
577,digital,4
578,boom,4
579,hair,4
580,forget,4
581,rhythm,4
582,ash,4
583,fool,4
584,trivium,4
585,sometimes,4
586,apart,4
587,miss,4
588,flame,4
589,highway,4
590,cinderella,4
591,till,4
592,fake,4
593,thin,4
594,since,4
595,wear,4
596,rocket,4
597,whitesnake,4
598,waste,4
599,write,4
600,quiet,4
601,bang,4
602,rate,4
603,breathe,4
604,crow,4
605,youth,4
606,beastie,4
607,drink,4
608,shy,4
609,stick,4
610,smooth,4
611,bell,4
612,lift,4
613,glass,4
614,rush,4
615,enter,4
616,band,4
617,share,4
618,pick,4
619,appear,4
620,class,4
621,report,4
622,full,4
623,alert,4
624,small,4
625,although,4
626,seventy,4
627,course,4
628,attempt,4
629,improve,4
630,breed,4
631,beam,4
632,join,4
633,historian,4
634,follow,4
635,transporter,4
636,trigger,4
637,begin,4
638,revive,4
639,estimate,4
640,board,4
641,starbase,4
642,sickbay,4
643,sorry,4
644,bed,4
645,low,4
646,base,4
647,technical,4
648,manual,4
649,catch,4
650,view,4
651,screen,4
652,napoleon,4
653,soft,4
654,staff,4
655,picture,4
656,strong,4
657,post,4
658,chief,4
659,chamber,4
660,chase,4
661,lonely,4
662,ease,4
663,insane,4
664,south,4
665,bus,4
666,wood,4
667,hoo,4
668,key,4
669,th,4
670,mafia,4
671,bank,4
672,daddy,4
673,brother,4
674,ali,4
675,rhyme,4
676,h,4
677,french,4
678,mack,4
679,dave,4
680,curry,4
681,mile,4
682,jazz,4
683,kay,4
684,michael,4
685,mac,4
686,jon,4
687,tree,4
688,flo,4
689,starr,4
690,montana,4
691,mane,4
692,guida,4
693,allen,4
694,jones,4
695,josh,4
696,k,4
697,kyle,4
698,load,4
699,mill,4
700,f,4
701,pack,4
702,phra,4
703,rae,4
704,russ,4
705,lucca,4
706,snow,4
707,southside,4
708,steve,4
709,travis,4
710,lee,4
711,tiga,4
712,yo,4
713,youngboy,4
714,gladly,4
715,pink,4
716,julia,4
717,clark,4
718,foreign,4
719,ndija,4
720,whené,4
721,aiko,4
722,natewantstobattle,4
723,tracy,4
724,ally,4
725,paloma,4
726,promise,3
727,shack,3
728,perfect,3
729,enemy,3
730,hail,3
731,jesus,3
732,cat,3
733,forever,3
734,mouth,3
735,america,3
736,piece,3
737,strange,3
738,alter,3
739,town,3
740,butterfly,3
741,enough,3
742,gray,3
743,shame,3
744,different,3
