,words,counts
0,get,2548
1,like,1455
2,know,1123
3,say,1122
4,go,993
5,make,920
6,one,890
7,come,867
8,na,834
9,see,785
10,man,721
11,much,714
12,time,697
13,de,683
14,yes,603
15,take,539
16,feature,538
17,boy,531
18,live,527
19,would,503
20,love,494
21,verse,485
22,good,481
23,want,470
24,think,461
25,feel,455
26,back,439
27,tell,425
28,rap,415
29,let,409
30,version,404
31,little,402
32,shout,401
33,rock,398
34,original,387
35,us,386
36,keep,385
37,yo,384
38,fuck,379
39,give,376
40,day,376
41,-PRON-,366
42,girl,366
43,big,361
44,never,355
45,play,355
46,look,348
47,mme,346
48,right,345
49,jam,345
50,gon,345
51,people,331
52,def,330
53,call,329
54,cause,329
55,try,324
56,beat,323
57,wan,320
58,shit,313
59,rhyme,310
60,way,306
61,baby,302
62,ta,300
63,word,293
64,even,293
65,life,290
66,new,287
67,may,286
68,chorus,285
69,hear,281
70,money,279
71,long,275
72,name,269
73,need,259
74,verdurin,255
75,thing,254
76,check,252
77,well,246
78,wild,246
79,niggas,241
80,‘,236
81,real,234
82,nigra,231
83,brother,227
84,hook,227
85,x,224
86,two,223
87,fresh,214
88,funky,213
89,world,213
90,g,213
91,break,211
92,mind,208
93,leave,207
94,oh,207
95,still,206
96,daddy,205
97,find,204
98,﻿1,201
99,hit,199
100,without,197
101,friend,197
102,put,196
103,bad,195
104,mean,193
105,c,192
106,eye,192
107,every,191
108,stop,187
109,ice,186
110,next,186
111,woman,184
112,chill,184
113,jump,182
114,head,181
115,albertine,180
116,cool,177
117,dogg,177
118,crow,176
119,old,175
120,dat,175
121,nothing,174
122,house,174
123,hand,174
124,tommy,173
125,cambremer,173
126,cold,172
127,ask,171
128,pop,170
129,profile,170
130,king,170
131,sugarhill,170
132,run,168
133,shake,168
134,la,166
135,game,164
136,ever,163
137,night,163
138,upon,162
139,around,160
140,black,158
141,roll,158
142,another,157
143,bring,157
144,step,156
145,young,156
146,sound,155
147,turn,155
148,must,154
149,use,153
150,party,152
151,talk,152
152,power,151
153,kid,151
154,home,151
155,hold,151
156,three,150
157,kick,149
158,late,147
159,place,146
160,da,146
161,remix,146
