,words,counts
0,get,268
1,like,267
2,say,197
3,love,174
4,go,173
5,make,145
6,girl,141
7,na,135
8,know,135
9,rock,129
10,take,128
11,break,117
12,verse,109
13,baby,106
14,yes,105
15,come,98
16,wild,96
17,oh,94
18,see,90
19,need,89
20,let,85
21,bow,82
22,wan,80
23,chorus,79
24,way,79
25,want,79
26,right,75
27,one,72
28,hey,72
29,good,71
30,much,70
31,time,68
32,two,63
33,give,62
34,think,60
35,back,60
36,us,60
37,ah,59
38,gon,58
39,tell,58
40,man,58
41,cool,57
42,never,56
43,beat,56
44,play,55
45,thing,54
46,push,53
47,night,52
48,little,52
49,jump,51
50,look,50
51,big,49
52,keep,49
53,guy,49
54,hold,48
55,stop,47
56,day,43
57,west,43
58,rhyme,42
59,cause,42
60,try,41
61,type,41
62,lady,41
63,tricky,40
64,twist,40
65,feel,39
66,talk,39
67,pump,38
68,real,37
69,call,37
70,around,34
71,start,34
72,monkey,34
73,hear,33
74,turn,33
75,sweet,33
76,mary,33
77,rap,32
78,everybody,32
79,la,32
80,hook,32
81,live,32
82,scream,32
83,lie,31
84,tonight,31
85,boy,31
86,cold,30
87,find,30
88,funky,29
89,party,29
90,hand,29
91,mike,29
92,well,28
93,dance,28
94,name,28
95,boogie,28
96,-PRON-,28
97,master,28
98,long,27
99,walk,27
100,show,27
101,rob,27
102,door,27
103,people,26
104,every,26
105,bounce,26
106,hank,26
107,passion,26
108,leave,25
109,put,25
110,heart,25
111,hot,25
112,life,25
113,remember,25
114,fly,25
115,three,25
116,ooh,25
117,girlfriend,25
118,wonder,25
119,bank,25
120,money,24
121,yo,24
122,song,23
123,mean,23
124,freak,23
125,ta,23
126,base,23
127,ha,23
128,really,22
129,kid,22
130,friend,22
131,ounce,22
132,kiss,22
133,step,22
134,fun,22
135,move,22
136,ba,22
137,kind,21
138,j,21
139,place,21
140,basketball,21
141,roll,21
142,world,20
143,use,20
144,heavy,20
145,eat,20
146,school,19
147,foot,19
148,eye,19
149,ron,19
150,hit,19
151,hard,19
152,fanatic,19
153,salt,19
154,fade,19
155,airwave,18
156,old,18
157,last,18
158,gee,18
159,run,18
160,together,18
161,brass,18
162,da,18
163,home,17
164,mind,17
165,care,17
166,something,17
167,prerogative,17
168,head,16
169,fall,16
170,may,16
171,cry,16
172,inside,16
173,please,16
174,would,16
175,ms,16
176,ever,16
177,strong,16
178,child,16
179,away,15
180,tight,15
181,always,15
182,intro,15
183,house,15
184,new,15
185,wear,15
186,even,15
187,throw,15
188,bad,15
189,gang,15
190,witch,15
191,morning,15
192,hello,15
193,ready,15
194,rhythm,15
195,sound,14
196,listen,14
197,nothing,14
198,outro,14
199,year,14
200,end,14
201,true,14
202,face,14
203,body,14
204,ask,14
205,act,14
206,pop,14
207,brother,14
208,sucker,14
209,outta,14
210,rain,14
211,drink,14
212,bridge,14
213,summertime,14
214,whoohoh,14
215,dream,13
216,check,13
217,another,13
218,game,13
219,mic,13
220,g,13
221,joy,13
222,understand,13
223,fight,13
224,side,13
225,ho,13
226,pain,13
227,sunshine,13
228,posse,13
229,late,12
230,spend,12
231,street,12
232,alone,12
233,daddy,12
234,stand,12
235,huh,12
236,star,12
237,blow,12
238,bring,12
239,cut,12
240,main,12
241,sit,12
242,scratch,12
243,stay,12
244,silent,12
245,nicole,12
246,age,12
247,candy,12
248,predict,12
249,dang,12
250,didang,12
251,iggy,12
252,wah,12
253,pass,11
254,special,11
255,kinda,11
256,lot,11
257,hip,11
258,red,11
259,watch,11
260,chill,11
261,﻿1,11
262,til,11
263,kill,11
264,fuck,11
265,talkin,11
266,def,11
267,medina,11
268,else,11
269,matt,11
270,sugarhill,11
271,color,10
272,sun,10
273,bout,10
274,wake,10
275,radio,10
276,de,10
277,record,10
278,treat,10
279,belong,10
280,rest,10
281,still,10
282,hiphop,10
283,doctor,10
284,app,10
285,shake,10
286,win,10
287,black,10
288,suck,10
289,nigra,10
290,begin,10
291,word,10
292,sight,10
293,shout,10
294,hang,10
295,drive,10
296,close,10
297,illin,10
298,doi,10
299,whistle,10
300,wipe,10
301,favorite,9
302,high,9
303,king,9
304,alive,9
305,chance,9
306,bust,9
307,miss,9
308,die,9
309,style,9
310,c,9
311,front,9
312,next,9
313,wait,9
314,hippie,9
315,crazy,9
316,kick,9
317,god,9
318,sing,9
319,everything,9
320,feeling,9
321,pick,9
322,floor,9
323,sleep,9
324,without,9
325,young,9
326,wolololololo,9
327,work,9
328,somebody,9
329,rundmc,9
330,icet,9
331,pipe,9
332,far,8
333,voice,8
334,hide,8
335,set,8
336,maybe,8
337,believe,8
338,homeboy,8
339,whole,8
340,meet,8
341,singe,8
342,crow,8
343,repeat,8
344,fresh,8
345,sure,8
346,niggas,8
347,car,8
348,mine,8
349,drop,8
350,plug,8
351,speak,8
352,lose,8
353,middle,8
354,shit,8
355,pay,8
356,numb,8
357,punk,8
358,pea,8
359,movie,8
360,uh,8
361,bangbang,8
362,hotel,8
363,food,8
364,somehow,8
365,buggin,8
366,broadway,8
367,sky,7
368,weather,7
369,bell,7
370,behind,7
371,four,7
372,dark,7
373,light,7
374,hurt,7
375,tall,7
376,block,7
377,wish,7
378,tenderoni,7
379,phone,7
380,deep,7
381,hair,7
382,gold,7
383,today,7
384,b,7
385,trouble,7
386,effect,7
387,ill,7
388,www,7
389,wall,7
390,soul,7
391,damn,7
392,forget,7
393,touch,7
394,wrong,7
395,pack,7
396,mess,7
397,smoke,7
398,finger,7
399,war,7
400,must,7
401,fire,7
402,clap,7
403,whatcha,7
404,dawn,7
405,stuff,7
406,decision,7
407,interlude,7
408,summer,7
409,hee,7
410,com,7
411,someone,6
412,pull,6
413,spin,6
414,prechorus,6
415,crowd,6
416,city,6
417,shock,6
418,track,6
419,magic,6
420,due,6
421,town,6
422,slap,6
423,change,6
424,fat,6
425,respect,6
426,smooth,6
427,alma,6
428,quite,6
429,stick,6
430,clothe,6
431,ama,6
432,nobody,6
433,cute,6
434,x,6
435,sheet,6
436,green,6
437,shop,6
438,boyfriend,6
439,buy,6
440,rapper,6
441,bye,6
442,suppose,6
443,alright,6
444,bite,6
445,fool,6
446,groove,6
447,brown,6
448,motel,6
449,blue,6
450,jam,6
451,kemosabe,6
452,ride,6
453,mom,6
454,permission,6
455,toss,6
456,huggin,6
457,girlies,6
458,ooooaaah,6
459,oo,6
460,quiver,5
461,half,5
462,catch,5
463,woman,5
464,shoot,5
465,truth,5
466,nice,5
467,send,5
468,tough,5
469,proud,5
470,ring,5
471,tear,5
472,offer,5
473,whodini,5
474,music,5
475,curtis,5
476,delight,5
477,chain,5
478,lt,5
479,happen,5
480,dr,5
481,thank,5
482,lover,5
483,tip,5
484,yet,5
485,microphone,5
486,death,5
487,trip,5
488,burn,5
489,deal,5
490,desire,5
491,fantasy,5
492,neck,5
493,realize,5
494,mirror,5
495,fact,5
496,point,5
497,noise,5
498,mama,5
499,hate,5
500,ball,5
501,battle,5
502,jock,5
503,warm,5
504,resist,5
505,stupid,5
506,bar,5
507,dog,5
508,dinner,5
509,tire,5
510,omar,5
511,chandler,5
512,dress,5
513,bum,5
514,postchorus,5
515,air,5
516,dare,5
517,week,5
518,ahunghunghunghung,5
519,cruel,5
520,fine,5
521,hoo,5
522,bobby,5
523,mother,5
524,refrain,5
525,con,5
526,sugar,5
527,beach,5
528,sample,5
529,junkie,5
530,dit,5
531,shiner,4
532,bone,4
533,lip,4
534,seem,4
535,rainy,4
536,sell,4
537,share,4
538,early,4
539,easy,4
540,quit,4
541,hop,4
542,rappers,4
543,reputation,4
544,box,4
545,five,4
546,round,4
547,shoulder,4
548,guess,4
549,whatever,4
550,become,4
551,many,4
552,outside,4
553,chuck,4
554,ice,4
555,overweight,4
556,earn,4
557,james,4
558,rip,4
559,tune,4
560,path,4
561,six,4
562,ten,4
563,w,4
564,large,4
565,rick,4
566,room,4
567,stare,4
568,swear,4
569,pour,4
570,trust,4
571,write,4
572,glory,4
573,soon,4
574,finish,4
575,fell,4
576,yell,4
577,louis,4
578,barely,4
579,louie,4
580,zoo,4
581,donkey,4
582,fast,4
583,course,4
584,arm,4
585,wolf,4
586,sting,4
587,stage,4
588,slack,4
589,help,4
590,action,4
591,plan,4
592,slow,4
593,toy,4
594,limousine,4
595,white,4
596,definitely,4
597,double,4
598,affair,4
599,bubba,4
600,weak,4
601,story,4
602,vicious,4
603,scene,4
604,hell,4
605,beatbeat,4
606,honey,4
607,taste,4
608,onto,4
609,cluster,4
610,apache,4
611,pound,4
612,sense,4
613,bang,4
614,diamond,4
615,peace,4
616,free,4
617,tom,4
618,doll,4
619,saba,4
620,dootin,4
621,correct,4
622,worry,4
623,mouse,4
624,terri,4
625,angel,4
626,park,4
627,anymore,4
628,forth,4
629,rage,4
630,excuse,4
631,cup,4
632,bill,4
633,blood,4
634,brake,4
635,wooah,4
636,function,4
637,swinge,4
638,chubb,4
639,pillow,3
640,fill,3
641,bed,3
642,poster,3
643,prayer,3
644,hope,3
645,gary,3
646,almost,3
647,smell,3
648,sin,3
649,mouth,3
650,dead,3
651,romance,3
652,official,3
653,wide,3
654,jockin,3
655,dope,3
656,suit,3
657,gear,3
658,bump,3
659,funk,3
660,pioneer,3
661,praise,3
662,runmc,3
663,everywhere,3
664,minute,3
665,alert,3
666,tour,3
667,video,3
668,leader,3
669,tribe,3
670,dre,3
671,pete,3
672,queen,3
673,e,3
674,eddie,3
675,f,3
676,mount,3
677,vernon,3
678,water,3
679,rise,3
680,steadily,3
681,happy,3
682,butter,3
683,tap,3
684,seven,3
685,answer,3
686,joint,3
687,plus,3
688,sometimes,3
689,heaven,3
690,dip,3
691,upon,3
692,busy,3
693,slick,3
694,dive,3
695,reminisce,3
696,float,3
697,warmth,3
698,forever,3
699,anywhere,3
700,rub,3
701,wet,3
702,single,3
703,till,3
704,finally,3
705,bull,3
706,hype,3
707,surely,3
708,person,3
709,learn,3
710,butt,3
711,sick,3
712,batter,3
713,super,3
714,gun,3
715,line,3
716,anything,3
717,everyday,3
718,woo,3
719,east,3
720,join,3
721,crush,3
722,open,3
723,ego,3
724,devastate,3
725,insane,3
726,retire,3
727,baddest,3
728,prove,3
729,center,3
730,tongue,3
731,backup,3
732,vow,3
733,heavenly,3
734,bliss,3
735,conceal,3
736,babe,3
737,winner,3
738,foe,3
739,static,3
740,z,3
741,chick,3
742,quick,3
743,alcohol,3
744,couple,3
745,beg,3
746,link,3
747,leg,3
748,date,3
749,monster,3
750,along,3
751,saturday,3
752,toast,3
753,autograph,3
754,guide,3
755,magazine,3
756,dirty,3
757,cigarette,3
758,disco,3
759,test,3
760,yellow,3
761,mix,3
762,viciously,3
763,holiday,3
764,inn,3
765,seat,3
766,hypnotize,3
767,bunch,3
768,guarantee,3
769,breakfast,3
770,instrumental,3
771,masterpiece,3
772,sexy,3
773,fit,3
774,clock,3
775,lean,3
776,beer,3
777,sweater,3
778,chicken,3
779,bottle,3
780,lifetime,3
781,popcorn,3
782,squad,3
783,ohohoh,3
784,attitude,3
785,pearl,3
786,cruise,3
787,top,3
788,reach,3
789,drag,3
790,jealous,3
791,question,3
792,season,3
793,wheel,3
794,crack,3
795,corner,3
796,mighty,3
797,lock,3
798,picture,3
799,prehook,3
800,funny,3
801,knee,3
802,embrace,3
803,source,3
804,dmc,3
805,club,3
806,underneath,3
807,rule,3
808,autumn,3
809,shah,3
810,locker,3
811,mickey,3
812,hoop,3
813,score,3
814,sister,3
815,sensation,3
816,benz,3
817,rd,3
818,wife,3
819,chickpow,3
820,build,3
821,sail,3
822,straight,3
823,steven,3
824,tyler,3
825,checker,3
826,fry,3
827,gray,2
828,lift,2
829,force,2
830,earth,2
831,grab,2
832,since,2
833,perfume,2
834,rocky,2
835,title,2
836,trtrtrtricky,2
837,sleazy,2
838,window,2
839,brag,2
840,darryl,2
841,jay,2
842,father,2
843,thug,2
844,drug,2
845,leather,2
846,sport,2
847,awesome,2
848,treacherous,2
849,explode,2
850,grandmaster,2
851,string,2
852,boppin,2
853,attack,2
854,bold,2
855,fan,2
856,ass,2
857,enemy,2
858,des,2
859,control,2
860,depress,2
861,quest,2
862,mad,2
863,compete,2
864,nameplate,2
865,thru,2
866,brand,2
867,k,2
868,flex,2
869,tool,2
870,small,2
871,relax,2
872,flow,2
873,rear,2
874,jail,2
875,necessary,2
876,contrary,2
877,shutter,2
878,silky,2
879,applaud,2
880,announce,2
881,eight,2
882,huggable,2
883,rather,2
884,oohooooh,2
885,size,2
886,territory,2
887,extremely,2
888,mai,2
889,part,2
890,plane,2
891,explain,2
892,makebelieve,2
893,laugh,2
894,ear,2
895,whisper,2
896,although,2
897,deserve,2
898,affection,2
899,create,2
900,chair,2
901,whenever,2
902,rug,2
903,search,2
904,grind,2
905,ecstasy,2
906,soft,2
907,experience,2
908,sweat,2
909,honor,2
910,teach,2
911,protect,2
912,arrive,2
913,posdnuos,2
914,pure,2
915,read,2
916,disguise,2
917,deny,2
918,dan,2
919,rookie,2
920,state,2
921,punch,2
922,th,2
923,wine,2
924,bird,2
925,bee,2
926,buddha,2
927,poontang,2
928,fuse,2
929,cuss,2
930,cook,2
931,microwave,2
932,choice,2
933,able,2
934,screw,2
935,karate,2
936,price,2
937,pant,2
938,store,2
939,limit,2
940,table,2
941,bitch,2
942,pitch,2
943,charlie,2
944,pussy,2
945,stalk,2
946,cheese,2
947,thick,2
948,trap,2
949,wrap,2
950,skirt,2
951,tree,2
952,problem,2
953,sand,2
954,bet,2
955,anybody,2
956,job,2
957,mob,2
958,soldier,2
959,wax,2
960,spot,2
961,group,2
962,chunk,2
963,soup,2
964,full,2
965,history,2
966,bitter,2
967,tommy,2
968,charge,2
969,skin,2
970,rack,2
971,bag,2
972,emotion,2
973,smile,2
974,beyond,2
975,grow,2
976,pinocchio,2
977,dododoooohooh,2
978,loser,2
979,odore,2
980,reason,2
981,idea,2
982,follower,2
983,bodyguard,2
984,situation,2
985,mission,2
986,clout,2
987,mac,2
988,calm,2
989,breeze,2
990,upset,2
991,none,2
992,loc,2
993,champ,2
994,secret,2
995,ship,2
996,lap,2
997,bowl,2
998,sheena,2
999,okay,2
1000,crib,2
1001,instead,2
1002,heres,2
1003,groovin,2
1004,lead,2
1005,knock,2
1006,fame,2
1007,chat,2
1008,coffee,2
1009,photograph,2
1010,tape,2
1011,machine,2
1012,disc,2
1013,jockey,2
1014,chase,2
1015,ton,2
1016,sunroof,2
1017,cadillac,2
1018,card,2
1019,mellow,2
1020,pretty,2
1021,low,2
1022,toe,2
1023,dibbie,2
1024,wiggle,2
1025,rockrock,2
1026,atmosphere,2
1027,tttickets,2
1028,doo,2
1029,raise,2
1030,heat,2
1031,serious,2
1032,cease,2
1033,reporter,2
1034,lois,2
1035,lane,2
1036,finesse,2
1037,satisfy,2
1038,sperm,2
1039,tick,2
1040,diva,2
1041,twelve,2
1042,friday,2
1043,phase,2
1044,appear,2
1045,wood,2
1046,plate,2
1047,clientele,2
1048,advice,2
1049,steal,2
1050,bardays,2
1051,case,2
1052,great,2
1053,nine,2
1054,definite,2
1055,danger,2
1056,ranger,2
1057,silver,2
1058,shoe,2
1059,slam,2
1060,dunk,2
1061,jerk,2
1062,dollar,2
