,words,counts
0,—,2078
1,say,1920
2,go,1361
3,tell,934
4,get,824
5,know,784
6,come,677
7,like,664
8,mam,616
9,man,598
10,one,575
11,us,549
12,want,497
13,take,462
14,good,461
15,see,458
16,would,450
17,look,447
18,dad,444
19,boy,442
20,make,441
21,back,426
22,day,411
23,mother,399
24,much,393
25,malachi,366
26,never,358
27,give,355
28,little,349
29,head,347
30,time,332
31,bed,327
32,home,327
33,mr,317
34,child,314
35,god,301
36,feat,290
37,oh,287
38,woman,286
39,sit,285
40,father,285
41,way,281
42,thing,271
43,eye,266
44,people,263
45,love,262
46,call,259
47,talk,252
48,may,243
49,around,242
50,leave,241
51,money,238
52,two,236
53,till,236
54,door,234
55,run,232
56,bring,232
57,away,228
58,think,228
59,hand,226
60,night,220
61,tea,219
62,house,218
63,cry,212
64,put,212
65,limerick,210
66,drink,209
67,baby,206
68,laugh,205
69,street,204
70,right,203
71,mrs,201
72,ask,200
73,world,200
74,doe,191
75,keep,187
76,big,186
77,well,183
78,every,183
79,even,183
80,long,181
81,bread,178
82,stand,175
83,jun,174
84,let,172
85,﻿1,172
86,hear,171
87,stop,171
88,face,171
89,old,169
90,die,167
91,great,165
92,yes,159
93,find,159
94,lane,158
95,fire,158
96,job,156
97,room,155
98,year,155
99,wall,155
100,school,155
101,work,152
102,new,151
103,state,147
104,grandma,147
105,brother,146
106,eat,146
107,try,146
108,miss,145
109,ever,145
110,priest,145
111,girl,144
112,morning,144
113,another,143
114,name,143
115,frankie,143
116,turn,142
117,nothing,142
118,fall,142
119,walk,141
120,uncle,141
121,na,140
122,poor,139
123,feel,137
124,ireland,136
125,read,136
126,sure,136
127,dance,135
128,place,132
129,life,132
130,irish,132
131,live,131
132,water,130
133,bite,130
134,black,130
135,always,130
136,ye,130
137,week,130
138,st,129
139,mind,129
140,stay,129
141,next,128
142,still,126
143,send,126
144,wait,126
145,america,124
146,telegram,124
147,use,121
148,help,121
149,michael,120
150,anything,118
151,mouth,116
152,start,116
153,paddy,116
154,heart,114
155,heaven,113
156,end,113
157,move,112
158,kill,111
159,stick,111
160,hold,110
161,bad,109
162,son,109
163,white,109
164,wonder,109
165,need,108
166,pa,108
167,last,107
168,something,107
169,ah,107
170,dog,106
171,class,106
172,devil,104
173,family,104
174,mean,103
175,jesus,103
176,play,102
